"trtid10","county","pop00","pop6a","hu00","hu6a"
6013333101,"Contra Costa County",4050.2001953125,4360,1492.923828125,1522
6013333102,"Contra Costa County",3961.09838867188,3967,1460.08203125,1611
6013333200,"Contra Costa County",6115,5382,2232,2276
6013334001,"Contra Costa County",4092,3850,1437,1608
6013334004,"Contra Costa County",7516,7496,3055,3357
6013334006,"Contra Costa County",5215,4815,1732,1764
6013334200,"Contra Costa County",6831.5888671875,8012,2770.05053710938,2862
6013335000,"Contra Costa County",3486,3442,1275,1285
6013336101,"Contra Costa County",5185,5324,1617,1622
6013336102,"Contra Costa County",7200,7651,2671,2721
6013336201,"Contra Costa County",3598,3927,1140.58666992188,1257
6013336202,"Contra Costa County",5446,6054,1726.41333007812,1759
6013337100,"Contra Costa County",3142,3551,1123,1244
6013337200,"Contra Costa County",7208,8106,3123,3106
6013337300,"Contra Costa County",6206,5904,2267,2333
6013338101,"Contra Costa County",4566.6728515625,4782,1651.06567382812,1910
6013338102,"Contra Costa County",3786.32763671875,3616,1368.93444824219,1417
6013338201,"Contra Costa County",3881,3700,1427,1448
6013338203,"Contra Costa County",4349.5966796875,5189,2425.87963867188,2744
6013338204,"Contra Costa County",5585.40380859375,6213,3115.12060546875,2872
6013338301,"Contra Costa County",2976,2904,1051,1098
6013338302,"Contra Costa County",5832,6212,2127,2154
6013339001,"Contra Costa County",3105,3243,1780.38488769531,1977
6013339002,"Contra Costa County",5404,6966,3098.615234375,3659
6013340001,"Contra Costa County",5707.76123046875,5916,2499.51635742188,2456
6013340002,"Contra Costa County",7230,7478,3042,3055
6013341000,"Contra Costa County",4708.05322265625,5543,2050.6337890625,2148
6013343001,"Contra Costa County",4748,4803,2127,2171
6013343002,"Contra Costa County",4413.01318359375,4812,2052.00512695312,2100
6013343003,"Contra Costa County",3870.98681640625,3906,1484.99499511719,1533
6013345101,"Contra Costa County",5909,5794,2175,1965
6013345102,"Contra Costa County",4141,3698,1359,1217
6013345103,"Contra Costa County",5314.05419921875,4828,1921.80847167969,1764
6013345105,"Contra Costa County",6186.86962890625,6625,2127.955078125,2404
6013345108,"Contra Costa County",6542,7480,3096,3276
6013345111,"Contra Costa County",4661,5083,1953.38208007812,1922
6013345112,"Contra Costa County",3280,5945,1374.61779785156,2195
6013345113,"Contra Costa County",4432.615234375,4306,1629.54907226562,1468
6013345114,"Contra Costa County",6493.51513671875,6518,2387.1884765625,2638
6013345115,"Contra Costa County",4040.99975585938,5990,1325.20935058594,1946
6013345116,"Contra Costa County",3006,2852,985.79052734375,898
6013345202,"Contra Costa County",6382.91455078125,7880,2988.59985351562,3227
6013345203,"Contra Costa County",6427.18896484375,6821,2482.53442382812,2797
6013345204,"Contra Costa County",3597.25634765625,3933,1401.78332519531,1332
6013346101,"Contra Costa County",3612,3446,1311,1301
6013346102,"Contra Costa County",5532,5793,1869,2116
6013346201,"Contra Costa County",6925,7288,2452,2806
6013346203,"Contra Costa County",3878.56469726562,3846,1327.01538085938,1438
6013346204,"Contra Costa County",7210.435546875,7411,2466.98461914062,2605
6013347000,"Contra Costa County",6226.41357421875,6200,2264.98486328125,2468
6013348000,"Contra Costa County",4560.4013671875,4862,1673.04675292969,1792
6013349000,"Contra Costa County",4777,5518,1971,2076
6013350000,"Contra Costa County",5531,6475,2467,2698
6013351101,"Contra Costa County",2501.9404296875,2600,1966.6416015625,2063
6013351102,"Contra Costa County",3800.94653320312,3667,2988.6123046875,2992
6013351103,"Contra Costa County",1720.3544921875,1884,1350.56713867188,1364
6013351200,"Contra Costa County",6035,6003,2104,2201
6013352101,"Contra Costa County",3993.75610351562,3220,1025.57678222656,824
6013352102,"Contra Costa County",5186,5741,1854,1824
6013352201,"Contra Costa County",5738,6260,2320,2362
6013352202,"Contra Costa County",2270,2542,1000,1041
6013353001,"Contra Costa County",3578.0029296875,3697,1359.00146484375,1415
6013353002,"Contra Costa County",3980,4429,1495,1568
6013354001,"Contra Costa County",1844.79638671875,2064,711.376220703125,752
6013354002,"Contra Costa County",6510,6581,2574,2696
6013355107,"Contra Costa County",3983.18823242188,5001,1214.56494140625,1740
6013355108,"Contra Costa County",6675.662109375,13947,2023.7890625,3880
6013355109,"Contra Costa County",5935,7281,1807.72680664062,2218
6013355110,"Contra Costa County",4428,4091,1348.71350097656,1272
6013355111,"Contra Costa County",4874,6399,1484.5595703125,2048
6013355112,"Contra Costa County",5477,5289,1838.666015625,2168
6013355113,"Contra Costa County",5409.001953125,4980,1815.83862304688,1779
6013355114,"Contra Costa County",5283.16259765625,11402,1776.05126953125,3546
6013355200,"Contra Costa County",3842.7998046875,10235,1381.03210449219,2978
6013355301,"Contra Costa County",6550,8146,2323,2870
6013355302,"Contra Costa County",3659,3469,1204,1212
6013355304,"Contra Costa County",7618.048828125,8230,2925.60766601562,3233
6013355306,"Contra Costa County",5025.001953125,5229,1816.00061035156,1898
6013356001,"Contra Costa County",4045,4375,1199,1261
6013356002,"Contra Costa County",5849.49169921875,5257,2037.68041992188,2022
6013357000,"Contra Costa County",3100,3165,1564,1655
6013358000,"Contra Costa County",5199,5885,2007,2177
6013359102,"Contra Costa County",5212.5625,5834,1868.76770019531,2018
